Location,Land_use_zoning,Builder_Type,Finish_Build,Builder_Pings,Total_Price
801,B,W,700619,7,1030000
801,B,W,700619,16,2270000
812,H,W,820319,39,3410000
806,H,W,830603,16,2100000
807,H,W,830623,41,5500000
807,H,W,770830,36,4900000
811,H,W,791207,43,3500000
820,H,W,810520,42,3500000
813,H,W,780317,56,5400000
813,H,W,870724,36,6000000
802,B,W,761110,38,5580000
804,H,W,821211,56,5600000
802,H,W,820327,99,23500000
806,H,W,811111,31,3450000
807,H,W,790723,58,6800000
811,B,W,870410,34,3500000
811,H,W,820503,47,4250000
830,H,W,830818,37,4020000
830,H,W,810630,25,3880000
830,H,W,900120,42,5500000
832,H,W,840805,34,1160000
807,H,W,780605,40,4200000
840,H,W,870726,35,2200000
830,H,W,790601,120,15700000
830,H,W,850124,33,3500000
811,H,W,830705,32,5600000
811,H,W,810525,39,6500000
800,H,W,710227,11,1600000
800,B,W,810129,45,5400000
807,H,W,671216,17,2200000
820,H,W,820521,24,1700000
830,H,W,821203,26,2900000
800,H,W,700905,33,2412636
807,H,W,671216,52,10600000
830,H,W,830301,28,3380000
811,H,W,820216,24,1800000
807,H,W,861003,44,6000000
807,H,W,851226,43,3980000
807,H,W,811118,37,3700000
802,H,W,791220,199,29600000
802,H,W,840715,43,5650000
802,H,W,671208,23,4600000
807,H,W,840628,43,4320000
830,H,W,781220,48,8400000
830,H,W,830324,66,9300000
800,H,W,670315,26,1200000
833,H,W,850201,45,3600000
800,B,W,770716,33,6680000
813,H,W,831224,33,5100000
813,H,W,811017,45,2650000
807,H,W,790207,54,4000000
807,H,W,820701,32,3200000
806,H,W,870630,49,7500000
802,H,W,701121,44,6600000
804,H,W,821211,56,5200000
804,H,W,841101,36,5100000
830,H,W,850124,42,3850000
812,H,W,810430,39,1078612
832,B,W,850110,26,880000
830,H,W,850124,42,4600000
830,H,W,850124,33,3380000
820,H,W,830120,49,4550000
813,B,W,861127,27,5300000
811,H,W,830705,49,5110000
813,H,W,830611,33,4000000
807,H,W,830215,18,2000000
812,H,W,840824,22,2300000
800,B,W,690603,36,3900000
802,H,W,731229,40,5100000
802,H,W,761009,56,8780000
807,H,W,840509,41,5600000
830,H,W,850124,33,3500000
815,H,W,840703,72,4360000
811,H,W,820603,40,4280000
804,B,F,841129,74,12500000
804,H,F,921231,36,5900000
801,H,F,990602,121,45000000
802,B,F,860227,17,2700000
806,H,F,1020520,35,6500000
812,B,F,820503,55,6300000
807,B,F,960604,37,6100000
807,H,F,890830,40,6650000
807,B,F,830111,37,3300000
807,H,F,860419,30,3900000
807,H,F,1020114,96,20320000
807,H,F,830603,47,5600000
807,B,F,941031,35,4820000
811,H,F,1010710,27,3600000
813,H,F,1011105,65,16170000
813,H,F,1040529,48,13200000
813,H,F,1040529,48,12980000
811,H,F,831018,36,3300000
811,H,F,941026,33,2800000
813,H,F,861029,35,4500000
813,H,F,881202,40,6900000
811,H,F,830713,43,4500000
811,B,F,831014,39,3980000
813,H,F,1030704,191,74360000
820,H,F,820810,39,3400000
820,H,F,851108,39,3000000
830,H,F,1010601,48,9100000
830,H,F,850705,36,3200000
830,B,F,1040508,26,7500000
830,B,F,1040508,36,8080000
814,H,F,1031230,46,9600000
831,H,F,851127,42,3500000
832,H,F,831128,34,1500000
830,H,F,820525,46,5550000
852,H,F,841230,39,1200000
829,H,F,840321,38,2650000
831,H,F,821231,46,3100000
831,H,F,830205,59,6000000
804,H,F,951030,25,1553700
814,B,F,1040420,26,3960000
815,H,F,851008,41,3900000
814,B,F,1040420,42,6160000
814,B,F,1040420,35,7000000
814,B,F,1030319,60,11850000
814,B,F,1030319,68,13250000
814,H,F,811114,23,2150000
830,H,F,860228,47,5530000
830,H,F,850615,37,2600000
830,H,F,1020626,62,8180000
830,H,F,1040410,27,4000000
830,H,F,1040410,27,4200000
813,H,F,1031128,71,18950000
813,H,F,1040410,26,6850000
813,H,F,830803,40,5820000
813,H,F,830803,9,680000
813,H,F,1040410,45,12900000
811,H,F,850205,31,3250000
813,H,F,1000916,39,6640000
813,H,F,960402,34,5200000
813,H,F,880920,42,5300000
807,H,F,850719,45,6170000
807,H,F,1031002,25,7030000
807,H,F,1031002,33,7500000
807,H,F,1031002,25,6530000
807,B,F,830903,46,3900000
807,H,F,830105,26,3300000
807,B,F,790109,38,3950000
807,H,F,970116,11,2270000
807,H,F,870122,33,5600000
812,H,F,1021004,59,10400000
806,H,F,1021216,147,39600000
804,H,F,1031212,96,22920000
804,H,F,1031212,96,24290000
804,H,F,930610,41,8500000
804,H,F,1011121,30,5500000
804,H,F,1031006,79,21000000
804,B,F,950809,24,4800000
803,B,F,1040323,69,16280000
804,B,F,1031210,62,16000000
803,B,F,721209,6,300000
804,H,F,1020301,92,21900000
801,B,F,910618,22,4100000
804,B,F,960131,31,6250000
804,B,F,950126,43,9230000
804,H,F,970606,114,26500000
804,H,F,830126,24,3800000
801,B,F,840821,15,1900000
804,B,F,930423,39,7800000
801,B,F,1040325,22,6190000
802,B,F,780724,38,4160000
802,B,F,791228,50,5300000
802,H,F,980514,65,21500000
802,B,F,790712,97,10800000
806,H,F,830907,47,5400000
807,H,F,880603,62,8100000
807,H,F,860124,37,5430000
807,H,F,860124,33,5000000
807,B,F,901122,25,3500000
807,H,F,830523,47,4600000
811,H,F,1000913,48,6800000
811,H,F,1030626,25,3500000
811,H,F,1030626,41,5800000
811,H,F,1030626,25,3750000
811,H,F,1030626,25,3600000
811,H,F,1030626,41,5900000
813,H,F,1040529,48,12500000
813,H,F,831221,55,8800000
813,H,F,851125,27,3900000
811,H,F,1040529,47,7420000
811,H,F,1010817,53,7300000
811,H,F,1040529,31,5500000
813,H,F,1040108,46,13000000
813,O,F,1011105,68,16000000
813,B,F,881212,38,6600000
811,B,F,931230,32,3810000
811,B,F,1020531,56,7700000
811,B,F,1020531,46,6900000
811,B,F,1020531,46,6380000
811,B,F,1020531,41,6380000
813,H,F,951128,67,4761493
820,H,F,840420,34,3330000
820,H,F,841118,31,2200000
830,B,F,781110,62,12800000
820,H,F,851108,30,3000000
830,H,F,860607,42,5000000
830,H,F,990110,34,5880000
830,H,F,830723,40,4300000
830,H,F,1030820,38,6610000
814,B,F,1040420,46,7100000
814,H,F,1040420,46,7100000
814,B,F,1040420,32,5950000
814,B,F,1040420,42,6500000
814,B,F,1040420,46,7620000
814,B,F,1040420,41,6880000
814,B,F,1040420,34,6210000
814,B,F,1040420,26,3770000
814,B,F,1040420,29,5140000
814,B,F,1040420,34,7220000
830,H,F,820609,32,3000000
804,B,F,931006,38,7000000
830,B,F,1040508,27,5500000
830,B,F,1040508,32,6110000
830,B,F,1040508,32,6280000
830,B,F,820412,35,3250000
830,H,F,830601,25,2250000
830,H,F,780810,37,3300000
820,H,F,841118,41,2650000
813,B,F,940614,24,4200000
813,H,F,1031128,41,10800000
811,H,F,820513,37,5250000
811,H,F,1031125,53,7400000
811,H,F,1031125,43,6100000
811,H,F,1031125,22,3850000
813,H,F,890124,48,3880000
811,H,F,820323,36,3900000
811,B,F,1030509,55,8960000
811,B,F,1030509,38,6400000
811,B,F,1030509,54,8000000
811,H,F,1010111,51,7250000
813,H,F,871221,50,8000000
811,H,F,1030626,56,7800000
811,H,F,1040709,35,10600000
811,H,F,1040709,38,10700000
811,H,F,1040709,25,4840000
811,H,F,1030626,50,6660000
807,B,F,1011107,82,13900000
807,H,F,860709,45,5500000
807,B,F,701221,32,4500000
806,H,F,1040504,65,10800000
806,H,F,860527,19,3250000
802,B,F,860421,43,6700000
800,B,F,690610,16,2200000
802,H,F,990504,44,13000000
802,H,F,990504,41,12000000
802,B,F,960508,29,6850000
804,H,F,830126,11,1150000
804,H,F,710318,22,3300000
801,B,F,910618,23,4700000
804,B,F,940804,51,11000000
804,H,F,1040611,87,19900000
804,H,F,1040611,88,20100000
804,H,F,1010710,50,9900000
804,B,F,800716,61,8700000
804,H,F,1030515,45,10300000
802,B,F,881223,22,3700000
802,B,F,720517,30,4500000
802,B,F,960515,27,5630000
806,H,F,810225,58,6080000
807,H,F,711201,21,3100000
807,B,F,701221,26,2200000
807,H,F,950711,26,3880000
807,B,F,830629,30,1600000
807,H,F,830510,42,4730000
807,B,F,840419,26,3530000
807,H,F,840606,41,5480000
807,H,F,870122,42,5550000
807,B,F,900207,54,7850000
813,H,F,880616,44,7100000
813,B,F,830910,35,4600000
813,B,F,950410,37,7200000
811,B,F,1031110,42,6220000
811,B,F,1031110,32,5220000
811,B,F,1031110,26,4560000
813,H,F,871110,48,7630000
813,H,F,1040507,71,21000000
813,B,F,890503,35,5320000
811,H,F,970917,54,7800000
813,H,F,1030711,80,20000000
813,H,F,1030711,80,20000000
813,H,F,1030711,80,20000000
825,H,F,830608,31,2750000
820,H,F,950512,56,5320000
820,H,F,861110,38,3900000
830,H,F,1040428,44,8950000
830,H,F,1040428,31,6980000
830,H,F,1040428,31,6900000
830,H,F,1040428,55,11000000
830,H,F,821123,30,5050000
830,H,F,1030601,52,9500000
815,H,F,820514,29,2600000
814,H,F,1040724,39,5840000
814,H,F,1040724,39,6220000
806,H,F,830809,42,4600000
831,H,F,850510,35,2399888
822,H,F,840627,60,4000000
814,H,F,1040724,36,5630000
814,H,F,1040724,33,4900000
814,H,F,1040724,36,5430000
830,H,F,851130,28,3800000
830,H,F,1040103,46,6650000
830,H,F,1040103,43,6100000
830,H,F,1040103,43,6500000
830,H,F,821123,36,3350000
830,B,F,861215,36,4100000
830,H,F,1040321,37,4900000
813,H,F,840511,40,14760000
811,H,F,1010817,46,5700000
811,H,F,940818,24,3100000
811,B,F,1031110,33,4600000
811,B,F,1031110,53,8050000
811,B,F,1031110,27,5480000
811,H,F,1040709,57,11050000
813,H,F,1010914,33,7030000
813,H,F,880616,44,7000000
807,B,F,870122,29,3450000
807,B,F,941031,38,6800000
807,B,F,880521,22,2750000
807,H,F,850320,28,3330000
807,B,F,870902,51,6500000
802,B,F,860421,29,3500000
802,H,F,710227,78,8000000
804,H,F,1031212,91,23380000
804,H,F,1031212,96,23380000
804,B,F,951101,36,6500000
804,H,F,1000120,115,21600000
801,B,F,940624,14,2500000
804,B,F,800810,17,2000000
804,B,F,1020522,81,17900000
801,B,F,810704,38,3900000
804,B,F,950825,35,7500000
801,B,F,930804,26,5500000
804,H,F,1020129,91,23000000
804,H,F,1020129,90,22500000
801,B,F,1010928,18,4700000
801,B,F,1040325,29,7800000
801,B,F,1040325,22,6310000
801,B,F,1040325,26,7130000
802,B,F,860421,48,5950000
812,H,F,1031201,50,6000000
812,H,F,1031201,47,5800000
800,B,F,671111,16,3700000
806,H,F,871117,18,3500000
806,B,F,960109,63,11350000
806,B,F,700905,31,4600000
806,B,F,950614,25,4880000
806,H,F,970423,42,8130000
807,H,F,880513,48,7080000
807,H,F,830407,36,5800000
807,B,F,991116,34,6100000
807,H,F,1010926,55,12180000
813,B,F,950410,23,4000000
813,H,F,891019,48,8200000
813,B,F,941012,34,5250000
813,H,F,870217,37,6700000
813,H,F,880616,53,8800000
813,H,F,830601,87,12500000
811,B,F,951016,40,4200000
813,B,F,1011004,70,17700000
811,H,F,830628,35,3200000
813,H,F,841013,41,5800000
811,H,F,1011225,46,5600000
811,H,F,1030626,56,7680000
811,H,F,1030626,52,6900000
811,H,F,1030626,56,7560000
811,H,F,830201,42,4000000
811,B,F,1020531,42,6390000
830,H,F,1010605,49,5000000
830,B,F,850105,35,2500000
830,H,F,840608,45,4500000
814,B,F,1030319,60,11500000
814,H,F,1040724,37,5760000
814,H,F,1031230,45,9400000
814,H,F,1031230,35,7100000
831,H,F,821231,36,2320000
831,H,F,840703,38,2400000
802,B,F,770209,105,13800000
813,H,F,801213,54,7400000
820,H,F,830810,38,3600000
829,H,F,840321,34,1850000
815,H,F,830128,41,3200000
830,H,F,1030529,94,22100000
811,H,F,940818,36,4950000
811,H,F,970912,23,3200000
811,H,F,811210,39,4620000
813,H,F,960716,39,5000000
813,H,F,1000916,41,6600000
813,H,F,841013,41,2898209
811,H,F,1040216,37,6720000
811,H,F,1040216,37,7380000
813,O,F,741129,33,2950000
813,H,F,870319,34,5400000
807,H,F,860419,53,6500000
807,H,F,850719,27,3780000
807,H,F,860124,42,6700000
807,B,F,820114,32,4020000
807,H,F,821006,52,6150000
807,B,F,861211,37,5400000
807,H,F,880625,49,7360000
806,H,F,991221,42,7750000
800,H,F,860120,46,8520000
802,B,F,710226,31,3850000
804,H,F,940202,52,9900000
804,B,F,941110,30,6050000
804,B,F,1001007,23,5400000
804,B,F,880930,23,4380000
804,B,F,950220,48,9650000
804,H,F,950809,17,3430000
802,B,F,701205,26,3500000
802,H,F,810125,64,10650000
802,B,F,770115,58,11000000
806,B,F,940504,32,6400000
812,H,F,830629,53,3800000
807,H,F,801108,90,12800000
807,H,F,1010208,46,9200000
807,H,F,800225,48,6500000
807,H,F,860709,37,4200000
807,H,F,820522,49,5300000
807,H,F,850626,42,5050000
807,B,F,890216,40,4800000
807,B,F,691223,29,4260000
813,B,F,870804,49,4300000
813,H,F,930519,31,7000000
811,B,F,1030509,43,7120000
830,H,F,900210,32,5700000
830,H,F,1010801,41,6050000
830,H,F,820622,37,4680000
830,B,F,840510,48,5500000
814,H,F,1040724,36,5370000
814,H,F,1040724,36,5470000
814,H,F,1040724,39,5880000
807,H,F,820703,22,3000000
807,H,F,820902,33,3800000
807,¤u,F,830208,29,2200000
831,H,F,840217,32,2300000
822,H,F,840627,35,3000000
814,H,F,1040724,39,5870000
814,H,F,1040724,31,4650000
814,H,F,1040724,30,4910000
814,H,F,1040724,23,3400000
814,H,F,1040724,23,3430000
814,H,F,1040724,24,3920000
814,H,F,1040724,24,3980000
814,H,F,861220,40,2000000
830,H,F,1020626,48,6320000
830,H,F,1020626,40,5800000
830,H,F,1040321,38,5070000
830,H,F,1040321,38,5400000
830,H,F,1040321,38,5630000
830,H,F,1030810,45,6110000
813,H,F,970410,44,7300000
811,H,F,1030502,47,6890000
813,H,F,880920,52,7500000
813,H,F,820703,39,4900000
811,H,F,950816,25,3300000
811,H,F,840809,36,3720000
811,H,F,1040529,47,7850000
811,H,F,1040529,31,5380000
811,H,F,1040529,47,7780000
811,H,F,1040529,31,5300000
813,B,F,890503,38,5480000
811,B,F,1040407,37,5330000
811,H,F,1040709,29,5860000
811,H,F,1040709,25,4840000
813,H,F,1040529,48,14700000
813,H,F,1040529,48,13300000
813,H,F,851012,11,1400000
811,H,F,1030626,24,3500000
811,H,F,1030626,42,5650000
811,H,F,1030626,24,3560000
807,H,F,820116,40,4600000
807,B,F,850625,23,3250000
807,H,F,921226,57,8900000
807,H,F,860709,53,9500000
806,H,F,830809,42,5500000
806,B,F,861105,50,9500000
802,B,F,851003,17,2700000
802,H,F,840626,57,12800000
804,H,F,1030212,68,18500000
804,H,F,840707,64,7500000
804,B,F,950126,23,5550000
804,B,F,940921,44,9550000
804,H,F,1040409,29,9600000
804,H,F,1040409,39,11800000
804,H,F,1040409,33,9600000
804,H,F,1020129,90,22010000
804,B,F,1030613,53,16560000
804,B,F,950126,36,6360000
804,H,F,940118,26,5150000
804,H,F,1040611,93,20450000
804,H,F,1040611,79,19100000
804,H,F,1040611,76,17400000
804,H,F,1040611,94,22160000
804,H,F,1040611,94,22100000
804,H,F,1040611,85,19250000
804,B,F,931025,35,7800000
804,B,F,1031210,59,13980000
804,H,F,911030,60,10200000
803,B,F,1040323,54,12650000
804,H,F,1030515,53,12280000
804,B,F,951030,41,8000000
802,B,F,710430,37,10000000
802,B,F,921105,53,11200000
802,B,F,960515,55,13300000
806,H,F,860527,58,8700000
806,H,F,1040504,54,8700000
806,B,F,950314,42,11000000
807,H,F,860709,28,4480000
807,H,F,880728,12,1410000
807,B,F,780519,43,4450000
807,B,F,860705,56,7360000
807,H,F,1010605,29,5150000
813,H,F,1031203,61,13000000
813,H,F,930519,25,4580000
813,H,F,870819,38,8500000
813,H,F,941114,38,8500000
813,B,F,941012,41,7050000
813,H,F,920114,37,4300000
813,H,F,830124,37,5650000
811,H,F,1040119,50,7600000
811,H,F,1040119,50,7820000
813,H,F,841211,40,5220000
830,H,F,891020,53,7500000
830,H,F,881206,35,4300000
830,H,F,840608,44,4150000
814,H,F,1031230,45,9000000
814,B,F,1040420,46,7100000
814,B,F,1040420,29,4850000
814,B,F,1040420,46,7100000
814,B,F,1040420,26,5070000
832,B,F,831128,27,1500000
813,H,F,921017,42,7100000
